iter	Passed	Remaining
0	0	70
1	1	63
2	2	73
3	2	67
4	3	62
5	3	59
6	4	57
7	4	55
8	5	53
9	5	51
10	6	50
11	6	49
12	7	48
13	7	47
14	8	46
15	8	45
16	9	44
17	9	43
18	10	42
19	10	42
20	11	41
21	11	41
22	12	40
23	12	40
24	13	39
25	13	38
26	14	38
27	14	37
28	15	36
29	15	36
30	16	36
31	16	35
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	21	33
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	15
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
