iter	Passed	Remaining
0	134	134749
1	136	67967
2	136	45491
3	137	34235
4	138	27509
5	138	23020
6	139	19801
7	140	17399
8	141	15552
9	141	14053
10	142	12819
11	143	11799
12	143	10928
13	144	10189
14	145	9543
15	145	8978
16	146	8477
17	147	8030
18	148	7665
19	149	7325
20	150	7000
21	150	6705
22	151	6433
23	152	6185
24	152	5957
25	153	5746
26	154	5549
27	154	5368
28	155	5199
29	155	5040
30	156	4890
31	157	4751
32	157	4621
33	158	4504
34	159	4388
35	159	4279
36	160	4175
37	161	4077
38	161	3984
39	162	3908
40	164	3836
41	164	3756
42	165	3679
43	165	3605
44	166	3535
45	167	3468
46	167	3406
47	168	3345
48	169	3288
49	170	3231
50	170	3175
51	171	3122
52	172	3073
53	172	3025
54	173	2977
55	173	2932
56	174	2891
57	175	2849
58	176	2807
59	176	2768
60	178	2743
61	179	2708
62	179	2671
63	180	2635
64	180	2601
65	181	2568
66	182	2536
67	182	2504
68	183	2473
69	183	2443
70	184	2414
71	185	2385
72	185	2357
73	186	2332
74	187	2307
75	187	2281
76	188	2256
77	188	2232
78	189	2208
79	190	2185
80	190	2162
81	191	2141
82	191	2116
83	192	2098
84	193	2080
85	193	2061
86	194	2043
87	195	2024
88	196	2006
89	196	1988
90	197	1971
91	197	1953
92	198	1936
93	199	1919
94	199	1902
95	200	1887
96	201	1871
97	201	1855
98	202	1840
99	202	1824
100	203	1810
101	204	1796
102	204	1782
103	205	1768
104	205	1754
105	206	1741
106	207	1730
107	208	1720
108	209	1708
109	209	1696
110	210	1683
111	210	1671
112	211	1659
113	212	1648
114	212	1636
115	213	1624
116	213	1612
117	214	1602
118	215	1591
119	215	1581
120	216	1570
121	216	1559
122	217	1549
123	217	1539
124	218	1529
125	219	1520
126	219	1509
127	220	1500
128	220	1490
129	221	1482
130	222	1475
131	223	1467
132	223	1458
133	224	1450
134	224	1441
135	225	1433
136	226	1425
137	226	1416
138	227	1409
139	228	1400
140	228	1393
141	229	1384
142	229	1377
143	230	1369
144	230	1361
145	231	1354
146	232	1347
147	232	1339
148	233	1332
149	233	1325
150	234	1318
151	235	1311
152	235	1305
153	236	1299
154	237	1294
155	238	1289
156	238	1283
157	239	1276
158	240	1270
159	240	1264
160	241	1256
161	241	1250
162	242	1244
163	242	1238
164	243	1232
165	244	1226
166	244	1220
167	245	1214
168	245	1209
169	246	1203
170	247	1198
171	247	1192
172	248	1187
173	249	1182
174	249	1177
175	250	1172
176	251	1167
177	252	1166
178	253	1162
179	254	1157
180	254	1152
181	255	1147
182	256	1143
183	256	1138
184	257	1133
185	257	1128
186	258	1123
187	259	1118
188	259	1113
189	260	1109
190	260	1104
191	261	1100
192	262	1095
193	262	1091
194	263	1086
195	263	1082
196	264	1077
197	265	1073
198	265	1069
199	266	1066
200	267	1063
201	268	1060
202	269	1056
203	269	1051
204	270	1047
205	270	1043
206	271	1040
207	272	1036
208	272	1032
209	273	1028
210	274	1025
211	274	1021
212	275	1018
213	276	1014
214	276	1010
215	277	1007
216	278	1003
217	278	999
218	279	995
219	279	992
220	280	988
221	281	985
222	282	983
223	283	981
224	284	978
225	284	974
226	285	972
227	286	968
228	286	965
229	287	961
230	287	958
231	288	954
232	289	951
233	289	948
234	290	944
235	290	941
236	291	938
237	292	935
238	292	931
239	293	928
240	293	925
241	294	922
242	295	918
243	295	915
244	296	912
245	297	910
246	298	909
247	299	907
248	299	904
249	300	901
250	301	899
251	301	896
252	302	893
253	303	890
254	303	887
255	304	884
256	304	881
257	305	878
258	306	875
259	306	873
260	307	870
261	307	867
262	308	864
263	309	862
264	309	859
265	310	856
266	311	853
267	311	851
268	312	850
269	313	848
270	314	845
271	315	843
272	315	840
273	316	837
274	316	835
275	317	832
276	318	830
277	318	827
278	319	824
279	319	822
280	320	819
281	321	817
282	321	814
283	322	812
284	322	810
285	323	807
286	324	805
287	324	802
288	325	800
289	326	798
290	327	797
291	328	796
292	329	794
293	330	792
294	330	790
295	331	788
296	332	786
297	332	783
298	333	781
299	334	779
300	334	777
301	335	774
302	335	772
303	336	770
304	337	768
305	337	766
306	338	763
307	339	761
308	339	759
309	340	757
310	341	755
311	341	753
312	343	753
313	344	751
314	344	749
315	345	747
316	346	745
317	346	743
318	347	741
319	348	739
320	348	737
321	349	735
322	349	733
323	350	731
324	351	729
325	351	727
326	352	725
327	353	723
328	354	722
329	354	720
330	355	718
331	356	717
332	357	717
333	358	715
334	359	713
335	360	712
336	361	710
337	361	708
338	362	707
339	363	705
340	364	703
341	364	701
342	365	699
343	365	697
344	366	695
345	367	694
346	367	692
347	368	690
348	369	688
349	369	686
350	370	685
351	373	687
352	374	686
353	375	684
354	376	683
355	377	682
356	378	680
357	378	679
358	379	677
359	379	675
360	380	674
361	381	672
362	382	670
363	382	668
364	383	667
365	384	665
366	384	664
367	385	662
368	386	660
369	386	658
370	387	657
371	388	656
372	389	654
373	389	652
374	390	650
375	391	649
376	391	647
377	392	645
378	392	643
379	393	641
380	393	639
381	394	637
382	394	635
383	395	634
384	395	632
385	396	630
386	396	628
387	397	626
388	397	624
389	398	623
390	398	621
391	399	619
392	400	618
393	400	616
394	401	615
395	402	613
396	403	612
397	403	610
398	404	608
399	404	606
400	405	605
401	405	603
402	406	601
403	406	600
404	407	598
405	407	596
406	408	594
407	408	593
408	409	591
409	409	589
410	410	588
411	410	586
412	411	584
413	412	583
414	412	581
415	413	579
416	413	578
417	414	576
418	414	574
419	415	573
420	415	571
421	416	569
422	417	568
423	417	567
424	418	565
425	418	564
426	419	562
427	419	560
428	420	559
429	420	557
430	421	556
431	421	554
432	422	553
433	422	551
434	423	549
435	423	548
436	424	546
437	424	545
438	425	543
439	425	542
440	426	540
441	427	539
442	427	537
443	428	536
444	428	534
445	429	533
446	429	531
447	430	529
448	430	528
449	431	527
450	432	526
451	432	524
452	433	523
453	434	521
454	434	520
455	435	519
456	435	517
457	436	516
458	436	514
459	437	513
460	437	511
461	438	510
462	438	508
463	439	507
464	439	506
465	440	504
466	440	503
467	441	501
468	442	500
469	442	499
470	443	497
471	443	496
472	444	494
473	444	493
474	445	492
475	445	490
476	446	489
477	447	488
478	448	487
479	448	485
480	449	484
481	449	483
482	450	481
483	450	480
484	451	479
485	451	477
486	452	476
487	452	474
488	453	473
489	453	472
490	454	470
491	454	469
492	455	468
493	456	467
494	456	465
495	457	464
496	457	463
497	458	461
498	458	460
499	459	459
500	459	457
501	460	456
502	460	455
503	461	454
504	462	453
505	463	452
506	463	450
507	464	449
508	464	448
509	465	447
510	465	445
511	466	444
512	466	443
513	467	442
514	467	440
515	468	439
516	469	438
517	469	436
518	470	435
519	470	434
520	471	433
521	471	432
522	472	430
523	472	429
524	473	428
525	473	427
526	474	425
527	474	424
528	475	423
529	475	422
530	477	421
531	478	420
532	478	419
533	479	418
534	480	417
535	480	415
536	481	414
537	481	413
538	482	412
539	482	411
540	483	409
541	483	408
542	484	407
543	485	406
544	485	405
545	486	404
546	486	403
547	487	401
548	487	400
549	488	399
550	488	398
551	489	397
552	489	396
553	490	394
554	490	393
555	491	392
556	492	391
557	493	391
558	494	389
559	494	388
560	495	387
561	496	386
562	496	385
563	497	384
564	497	383
565	498	382
566	498	380
567	499	379
568	500	378
569	500	377
570	501	376
571	501	375
572	502	374
573	502	373
574	503	371
575	503	370
576	504	369
577	504	368
578	505	367
579	505	366
580	506	365
581	507	364
582	508	363
583	508	362
584	509	361
585	509	360
586	510	359
587	510	357
588	511	356
589	511	355
590	512	354
591	513	353
592	513	352
593	514	351
594	515	350
595	516	349
596	516	348
597	517	347
598	518	346
599	518	345
600	519	344
601	520	343
602	520	342
603	521	341
604	522	341
605	523	340
606	524	339
607	525	338
608	525	337
609	526	336
610	527	335
611	527	334
612	528	333
613	529	332
614	529	331
615	530	330
616	530	329
617	531	328
618	532	327
619	532	326
620	533	325
621	534	324
622	534	323
623	535	322
624	536	322
625	538	321
626	539	320
627	540	319
628	540	319
629	541	318
630	542	317
631	543	316
632	543	315
633	544	314
634	545	313
635	545	312
636	546	311
637	546	310
638	547	309
639	547	307
640	548	306
641	548	305
642	549	304
643	549	303
644	550	302
645	550	301
646	551	300
647	552	300
648	553	299
649	555	298
650	556	298
651	557	297
652	557	296
653	558	295
654	558	294
655	559	293
656	559	292
657	560	291
658	560	290
659	561	289
660	561	288
661	562	287
662	562	286
663	563	285
664	563	284
665	564	283
666	564	282
667	565	281
668	565	280
669	566	279
670	568	278
671	569	277
672	569	276
673	570	275
674	570	274
675	571	273
676	572	272
677	572	271
678	573	270
679	573	269
680	574	268
681	574	267
682	575	266
683	575	265
684	576	264
685	576	263
686	577	262
687	577	261
688	578	260
689	578	259
690	579	259
691	579	258
692	580	257
693	580	256
694	581	255
695	582	254
696	583	253
697	584	252
698	585	251
699	585	250
700	586	250
701	586	249
702	587	248
703	587	247
704	588	246
705	588	245
706	589	244
707	589	243
708	590	242
709	591	241
710	591	240
711	592	239
712	592	238
713	593	237
714	593	236
715	594	235
716	594	234
717	595	233
718	595	232
719	596	231
720	597	231
721	597	230
722	598	229
723	598	228
724	599	227
725	599	226
726	600	225
727	601	224
728	601	223
729	602	222
730	602	221
731	603	220
732	603	219
733	604	218
734	604	218
735	605	217
736	605	216
737	606	215
738	606	214
739	607	213
740	607	212
741	608	211
742	608	210
743	610	209
744	610	209
745	611	208
746	612	207
747	613	206
748	613	205
749	614	204
750	614	203
751	615	202
752	615	201
753	616	201
754	616	200
755	617	199
756	617	198
757	618	197
758	618	196
759	619	195
760	619	194
761	620	193
762	620	192
763	621	191
764	622	191
765	622	190
766	623	189
767	624	188
768	625	187
769	626	187
770	626	186
771	627	185
772	628	184
773	628	183
774	629	182
775	629	181
776	630	180
777	630	179
778	631	179
779	631	178
780	632	177
781	632	176
782	633	175
783	633	174
784	634	173
785	634	172
786	635	171
787	635	171
788	636	170
789	636	169
790	637	168
791	637	167
792	638	166
793	639	165
794	640	165
795	641	164
796	642	163
797	642	162
798	643	161
799	644	161
800	644	160
801	645	159
802	646	158
803	646	157
804	647	156
805	647	155
806	648	155
807	648	154
808	649	153
809	649	152
810	650	151
811	650	150
812	651	149
813	652	149
814	653	148
815	653	147
816	654	146
817	655	145
818	656	145
819	657	144
820	657	143
821	658	142
822	658	141
823	659	140
824	660	140
825	660	139
826	661	138
827	661	137
828	662	136
829	662	135
830	663	134
831	663	134
832	664	133
833	664	132
834	665	131
835	665	130
836	666	129
837	667	129
838	667	128
839	668	127
840	669	126
841	670	125
842	671	125
843	672	124
844	672	123
845	673	122
846	673	121
847	674	120
848	674	120
849	675	119
850	675	118
851	676	117
852	676	116
853	677	115
854	677	114
855	678	114
856	679	113
857	679	112
858	680	111
859	680	110
860	681	110
861	681	109
862	682	108
863	683	107
864	683	106
865	684	105
866	685	105
867	686	104
868	686	103
869	687	102
870	688	101
871	689	101
872	689	100
